,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
57,2018-07-06,Brazil,Belgium,1,2,FIFA World Cup,Kazan,Russia,True
58,2018-07-07,Sweden,England,0,2,FIFA World Cup,Samara,Russia,True
59,2018-07-07,Russia,Croatia,2,2,FIFA World Cup,Sochi,Russia,False
60,2018-07-10,France,Belgium,1,0,FIFA World Cup,Saint Petersburg,Russia,True
61,2018-07-11,Croatia,England,2,1,FIFA World Cup,Moscow,Russia,True
62,2018-07-14,Belgium,England,2,0,FIFA World Cup,Saint Petersburg,Russia,True
63,2018-07-15,France,Croatia,4,2,FIFA World Cup,Moscow,Russia,True
64,2018-07-22,Liberia,Sierra Leone,0,0,Friendly,Monrovia,Liberia,False
65,2018-08-04,Belize,Barbados,1,0,Friendly,San Pedro,Belize,False
66,2018-08-04,Palestine,Iraq,0,3,Friendly,Al-Ram,Palestine,False
67,2018-08-15,Guatemala,Cuba,3,0,Friendly,Guatemala City,Guatemala,False
68,2018-08-18,Andorra,United Arab Emirates,0,0,Friendly,Grödig,Austria,True
69,2018-08-18,Grenada,Jamaica,1,5,Friendly,St. George's,Grenada,False
70,2018-08-18,Guatemala,Cuba,1,0,Friendly,Quetzaltenango,Guatemala,False
71,2018-08-20,Barbados,Jamaica,2,2,Friendly,Bridgetown,Barbados,False
72,2018-08-26,Barbados,Cuba,0,0,Friendly,Bridgetown,Barbados,False
73,2018-08-29,Bangladesh,Sri Lanka,0,1,Friendly,Nilphamari Sadar,Bangladesh,False
74,2018-08-29,Barbados,Cuba,0,2,Friendly,Bridgetown,Barbados,False
75,2018-08-29,Macau,Solomon Islands,1,4,Friendly,Taipa,Macau,False
76,2018-09-01,Timor-Leste,Brunei Darussalam,3,1,AFF Championship qualification,Kuala Lumpur,Malaysia,True
77,2018-09-02,Ethiopia,Burundi,1,1,Friendly,Hawassa,Ethiopia,False
78,2018-09-02,Mongolia,Macau,4,1,EAFF Championship,Ulaanbaatar,Mongolia,False
79,2018-09-04,Macau,Guam,2,0,EAFF Championship,Ulaanbaatar,Mongolia,True
80,2018-09-04,Nepal,Pakistan,1,2,SAFF Cup,Dhaka,Bangladesh,True
81,2018-09-04,Bangladesh,Bhutan,2,0,SAFF Cup,Dhaka,Bangladesh,False
82,2018-09-05,Fiji,Solomon Islands,1,1,Friendly,Suva,Fiji,False
83,2018-09-05,Slovakia,Denmark,3,0,Friendly,Trnava,Slovakia,False
84,2018-09-05,India,Sri Lanka,2,0,SAFF Cup,Dhaka,Bangladesh,True
85,2018-09-06,Germany,France,0,0,UEFA Nations League,Munich,Germany,False
86,2018-09-06,Czech Republic,Ukraine,1,2,UEFA Nations League,Uherské Hradiště,Czech Republic,False
87,2018-09-06,Wales,Republic of Ireland,4,1,UEFA Nations League,Cardiff,Wales,False
88,2018-09-06,Norway,Cyprus,2,0,UEFA Nations League,Oslo,Norway,False
89,2018-09-06,Slovenia,Bulgaria,1,2,UEFA Nations League,Ljubljana,Slovenia,False
90,2018-09-06,Kazakhstan,Georgia,0,2,UEFA Nations League,Astana,Kazakhstan,False
91,2018-09-06,Latvia,Andorra,0,0,UEFA Nations League,Riga,Latvia,False
92,2018-09-06,Armenia,Liechtenstein,2,1,UEFA Nations League,Yerevan,Armenia,False
93,2018-09-06,Gibraltar,North Macedonia,0,2,UEFA Nations League,Gibraltar,Gibraltar,False
94,2018-09-06,Austria,Sweden,2,0,Friendly,Vienna,Austria,False
95,2018-09-06,Bahrain,Philippines,1,1,Friendly,East Riffa,Bahrain,False
96,2018-09-06,Jordan,Lebanon,0,1,Friendly,Amman,Jordan,False
97,2018-09-06,Kyrgyzstan,Palestine,1,1,Friendly,Bishkek,Kyrgyzstan,False
98,2018-09-06,Netherlands,Peru,2,1,Friendly,Amsterdam,Netherlands,False
99,2018-09-06,Portugal,Croatia,1,1,Friendly,Faro-Loulé,Portugal,False
100,2018-09-06,Trinidad and Tobago,United Arab Emirates,2,0,Friendly,Llagostera,Trinidad and Tobago,False
101,2018-09-06,Uzbekistan,Syria,1,1,Friendly,Tashkent,Uzbekistan,False
102,2018-09-06,Mongolia,Guam,1,1,EAFF Championship,Ulaanbaatar,Mongolia,False
103,2018-09-06,Nepal,Bhutan,4,0,SAFF Cup,Dhaka,Bangladesh,True
104,2018-09-06,Bangladesh,Pakistan,1,0,SAFF Cup,Dhaka,Bangladesh,False
105,2018-09-06,Dominica,Suriname,0,0,CONCACAF Nations League qualification,Les Abymes,Guadeloupe,True
106,2018-09-06,Guyana,Barbados,3,0,CONCACAF Nations League qualification,Leonora,Guyana,False
107,2018-09-07,Italy,Poland,1,1,UEFA Nations League,Bologna,Italy,False
108,2018-09-07,Turkey,Russia,1,2,UEFA Nations League,Trabzon,Turkey,False
109,2018-09-07,Albania,Israel,1,0,UEFA Nations League,Elbasan,Albania,False
110,2018-09-07,Lithuania,Serbia,0,1,UEFA Nations League,Vilnius,Lithuania,False
111,2018-09-07,Romania,Montenegro,0,0,UEFA Nations League,Ploiești,Romania,False
112,2018-09-07,Faroe Islands,Malta,3,1,UEFA Nations League,Tórshavn,Faroe Islands,False
113,2018-09-07,Azerbaijan,Kosovo,0,0,UEFA Nations League,Baku,Azerbaijan,False
114,2018-09-07,Argentina,Guatemala,3,0,Friendly,Los Angeles,USA,True
115,2018-09-07,Taiwan,Malaysia,2,0,Friendly,Taipei,Taiwan,False
116,2018-09-07,Ecuador,Jamaica,2,0,Friendly,Harrison,USA,True
117,2018-09-07,South Korea,Costa Rica,2,0,Friendly,Goyang,South Korea,False
118,2018-09-07,Mexico,Uruguay,1,4,Friendly,Houston,USA,True
119,2018-09-07,Qatar,China PR,1,0,Friendly,Doha,Qatar,False
120,2018-09-07,Scotland,Belgium,0,4,Friendly,Glasgow,Scotland,False
121,2018-09-07,Singapore,Mauritius,1,1,Friendly,Bishan,Singapore,False
122,2018-09-07,USA,Brazil,0,2,Friendly,East Rutherford,USA,False
123,2018-09-07,Venezuela,Colombia,1,2,Friendly,Miami Gardens,USA,True
124,2018-09-07,Maldives,Sri Lanka,0,0,SAFF Cup,Dhaka,Bangladesh,True
125,2018-09-07,Antigua and Barbuda,Saint Lucia,0,3,CONCACAF Nations League qualification,North Sound,Antigua and Barbuda,False
126,2018-09-07,Belize,Bahamas,4,0,CONCACAF Nations League qualification,Belmopan,Belize,False
127,2018-09-08,Switzerland,Iceland,6,0,UEFA Nations League,St. Gallen,Switzerland,False
128,2018-09-08,England,Spain,1,2,UEFA Nations League,London,England,False
129,2018-09-08,Northern Ireland,Bosnia and Herzegovina,1,2,UEFA Nations League,Belfast,Northern Ireland,False
130,2018-09-08,Finland,Hungary,1,0,UEFA Nations League,Tampere,Finland,False
131,2018-09-08,Estonia,Greece,0,1,UEFA Nations League,Tallinn,Estonia,False
132,2018-09-08,Belarus,San Marino,5,0,UEFA Nations League,Minsk,Belarus,False
133,2018-09-08,Luxembourg,Moldova,4,0,UEFA Nations League,Luxembourg City,Luxembourg,False
134,2018-09-08,Brunei Darussalam,Timor-Leste,1,0,AFF Championship qualification,Bandar Seri Begawan,Brunei,False
135,2018-09-08,Equatorial Guinea,Sudan,1,0,African Cup of Nations qualification,Bata,Equatorial Guinea,False
136,2018-09-08,Comoros,Cameroon,1,1,African Cup of Nations qualification,Mitsamiouli,Comoros,False
137,2018-09-08,Gabon,Burundi,1,1,African Cup of Nations qualification,Libreville,Gabon,False
138,2018-09-08,Gambia,Algeria,1,1,African Cup of Nations qualification,Bakau,Gambia,False
139,2018-09-08,South Africa,Libya,0,0,African Cup of Nations qualification,Durban,South Africa,False
140,2018-09-08,Mauritania,Burkina Faso,2,0,African Cup of Nations qualification,Nouakchott,Mauritania,False
141,2018-09-08,Egypt,Niger,6,0,African Cup of Nations qualification,Alexandria,Egypt,False
142,2018-09-08,Namibia,Zambia,1,1,African Cup of Nations qualification,Windhoek,Namibia,False
143,2018-09-08,Uganda,Tanzania,0,0,African Cup of Nations qualification,Kira,Uganda,False
144,2018-09-08,Pakistan,Bhutan,3,0,SAFF Cup,Dhaka,Bangladesh,True
145,2018-09-08,Bangladesh,Nepal,0,2,SAFF Cup,Dhaka,Bangladesh,False
146,2018-09-08,Saint Vincent and the Grenadines,Nicaragua,0,2,CONCACAF Nations League qualification,Kingstown,Saint Vincent and the Grenadines,False
147,2018-09-08,Cuba,Turks and Caicos Islands,11,0,CONCACAF Nations League qualification,Havana,Cuba,False
148,2018-09-08,Montserrat,El Salvador,1,2,CONCACAF Nations League qualification,Lookout,Montserrat,False
149,2018-09-09,France,Netherlands,2,1,UEFA Nations League,Paris,France,False
150,2018-09-09,Ukraine,Slovakia,1,0,UEFA Nations League,Lviv,Ukraine,False
151,2018-09-09,Denmark,Wales,2,0,UEFA Nations League,Aarhus,Denmark,False
152,2018-09-09,Bulgaria,Norway,1,0,UEFA Nations League,Sofia,Bulgaria,False
153,2018-09-09,Cyprus,Slovenia,2,1,UEFA Nations League,Nicosia,Cyprus,False
154,2018-09-09,Georgia,Latvia,1,0,UEFA Nations League,Tbilisi,Georgia,False
155,2018-09-09,North Macedonia,Armenia,2,0,UEFA Nations League,Skopje,North Macedonia,False
156,2018-09-09,Liechtenstein,Gibraltar,2,0,UEFA Nations League,Vaduz,Liechtenstein,False
157,2018-09-09,Germany,Peru,2,1,Friendly,Sinsheim,Germany,False
158,2018-09-09,Lebanon,Oman,0,0,Friendly,Amman,Jordan,True
159,2018-09-09,Congo,Zimbabwe,1,1,African Cup of Nations qualification,Brazzaville,Congo,False
160,2018-09-09,Rwanda,Ivory Coast,1,2,African Cup of Nations qualification,Kigali,Rwanda,False
161,2018-09-09,India,Maldives,2,0,SAFF Cup,Dhaka,Bangladesh,True
162,2018-09-09,USA Virgin Islands,Canada,0,8,CONCACAF Nations League qualification,Bradenton,USA,True
163,2018-09-09,Aruba,Bermuda,3,1,CONCACAF Nations League qualification,Willemstad,Netherlands Antilles,True
164,2018-09-09,Jamaica,Cayman Islands,4,0,CONCACAF Nations League qualification,Kingston,Jamaica,False
165,2018-09-09,Saint Kitts and Nevis,Puerto Rico,1,0,CONCACAF Nations League qualification,Basseterre,Saint Kitts and Nevis,False
166,2018-09-10,Portugal,Italy,1,0,UEFA Nations League,Lisbon,Portugal,False
167,2018-09-10,Sweden,Turkey,2,3,UEFA Nations League,Stockholm,Sweden,False
168,2018-09-10,Scotland,Albania,2,0,UEFA Nations League,Glasgow,Scotland,False
169,2018-09-10,Montenegro,Lithuania,2,0,UEFA Nations League,Podgorica,Montenegro,False
170,2018-09-10,Serbia,Romania,2,2,UEFA Nations League,Belgrade,Serbia,False
171,2018-09-10,Andorra,Kazakhstan,1,1,UEFA Nations League,Andorra la Vella,Andorra,False
172,2018-09-10,Kosovo,Faroe Islands,2,0,UEFA Nations League,Pristina,Kosovo,False
173,2018-09-10,Malta,Azerbaijan,1,1,UEFA Nations League,Attard,Malta,False
174,2018-09-10,Bahrain,China PR,0,0,Friendly,East Riffa,Bahrain,False
175,2018-09-10,Cambodia,Malaysia,1,3,Friendly,Phnom Penh,Cambodia,False
176,2018-09-10,Kuwait,Iraq,2,2,Friendly,Al Farwaniyah,Kuwait,False
177,2018-09-10,Kyrgyzstan,Syria,2,1,Friendly,Bishkek,Kyrgyzstan,False
178,2018-09-10,Russia,Czech Republic,5,1,Friendly,Rostov-on-Don,Russia,False
179,2018-09-10,Saudi Arabia,Bolivia,2,2,Friendly,Riyadh,Saudi Arabia,False
180,2018-09-10,Curaçao,Grenada,10,0,CONCACAF Nations League qualification,Willemstad,Curaçao,False
181,2018-09-11,Iceland,Belgium,0,3,UEFA Nations League,Reykjavík,Iceland,False
182,2018-09-11,Spain,Croatia,6,0,UEFA Nations League,Elche,Spain,False
183,2018-09-11,Bosnia and Herzegovina,Austria,1,0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False
184,2018-09-11,Hungary,Greece,2,1,UEFA Nations League,Budapest,Hungary,False
185,2018-09-11,Finland,Estonia,1,0,UEFA Nations League,Turku,Finland,False
186,2018-09-11,San Marino,Luxembourg,0,3,UEFA Nations League,Serravalle,San Marino,False
187,2018-09-11,Moldova,Belarus,0,0,UEFA Nations League,Chișinău,Moldova,False
188,2018-09-11,Colombia,Argentina,0,0,Friendly,East Rutherford,USA,True
189,2018-09-11,Ecuador,Guatemala,2,0,Friendly,Bridgeview,USA,True
190,2018-09-11,England,Switzerland,1,0,Friendly,London,England,False
191,2018-09-11,Gabon,Zambia,0,1,Friendly,Libreville,Gabon,False
192,2018-09-11,Indonesia,Mauritius,1,0,Friendly,Cikarang,Indonesia,False
193,2018-09-11,Japan,Costa Rica,3,0,Kirin Challenge Cup,Suita,Japan,False
194,2018-09-11,Jordan,Oman,0,0,Friendly,Amman,Jordan,False
195,2018-09-11,Kenya,Malawi,1,0,Friendly,Nairobi,Kenya,False
196,2018-09-11,South Korea,Chile,0,0,Friendly,Suwon,South Korea,False
197,2018-09-11,Laos,United Arab Emirates,0,3,Friendly,Llagostera,Laos,False
198,2018-09-11,Liberia,Nigeria,1,2,Friendly,Monrovia,Liberia,False
199,2018-09-11,Northern Ireland,Israel,3,0,Friendly,Belfast,Northern Ireland,False
200,2018-09-11,Panama,Venezuela,0,2,Friendly,Panama City,Panama,False
201,2018-09-11,Poland,Republic of Ireland,1,1,Friendly,Wrocław,Poland,False
202,2018-09-11,Qatar,Palestine,3,0,Friendly,Doha,Qatar,False
203,2018-09-11,Singapore,Fiji,2,0,Friendly,Bishan,Singapore,False
204,2018-09-11,USA,Mexico,1,0,Friendly,Nashville,USA,False
205,2018-09-11,Uzbekistan,Iran,0,1,Friendly,Tashkent,Uzbekistan,False
206,2018-09-12,Brazil,El Salvador,5,0,Friendly,Landover,USA,True
207,2018-09-12,India,Pakistan,3,1,SAFF Cup,Dhaka,Bangladesh,True
208,2018-09-12,Nepal,Maldives,0,3,SAFF Cup,Dhaka,Bangladesh,True
209,2018-09-15,Maldives,India,2,1,SAFF Cup,Dhaka,Bangladesh,True
210,2018-09-30,Botswana,Namibia,1,0,Friendly,Gaborone,Botswana,False
211,2018-09-30,Saint Vincent and the Grenadines,Barbados,1,1,Friendly,Georgetown,Saint Vincent and the Grenadines,False
212,2018-10-10,Albania,Jordan,0,0,Friendly,Elbasan,Albania,False
213,2018-10-10,Indonesia,Myanmar,3,0,Friendly,Cikarang,Indonesia,False
214,2018-10-10,Italy,Ukraine,1,1,Friendly,Genoa,Italy,False
215,2018-10-10,Ethiopia,Kenya,0,0,African Cup of Nations qualification,Bahir Dar,Ethiopia,False
216,2018-10-10,Zambia,Guinea-Bissau,2,1,African Cup of Nations qualification,Lusaka,Zambia,False
217,2018-10-11,Poland,Portugal,2,3,UEFA Nations League,Chorzów,Poland,False
218,2018-10-11,Russia,Sweden,0,0,UEFA Nations League,Kaliningrad,Russia,False
219,2018-10-11,Israel,Scotland,2,1,UEFA Nations League,Haifa,Israel,False
220,2018-10-11,Montenegro,Serbia,0,2,UEFA Nations League,Podgorica,Montenegro,False
221,2018-10-11,Lithuania,Romania,1,2,UEFA Nations League,Vilnius,Lithuania,False
222,2018-10-11,Faroe Islands,Azerbaijan,0,3,UEFA Nations League,Tórshavn,Faroe Islands,False
223,2018-10-11,Kosovo,Malta,3,1,UEFA Nations League,Pristina,Kosovo,False
224,2018-10-11,Argentina,Iraq,4,0,Friendly,Riyadh,Saudi Arabia,True
225,2018-10-11,Bahrain,Syria,0,1,Friendly,East Riffa,Bahrain,False
226,2018-10-11,France,Iceland,2,2,Friendly,Guingamp,France,False
227,2018-10-11,Honduras,United Arab Emirates,1,1,Friendly,Barcelona,Spain,True
228,2018-10-11,Hong Kong,Thailand,0,1,Friendly,Hong Kong,Hong Kong,False
229,2018-10-11,Kuwait,Lebanon,1,0,Friendly,Kuwait City,Kuwait,False
230,2018-10-11,Mexico,Costa Rica,3,2,Friendly,San Nicolás de los Garza,Mexico,False
231,2018-10-11,Turkey,Bosnia and Herzegovina,0,0,Friendly,Rize,Turkey,False
232,2018-10-11,USA,Colombia,2,4,Friendly,Tampa,USA,False
233,2018-10-11,Wales,Spain,1,4,Friendly,Cardiff,Wales,False
234,2018-10-11,Congo,Liberia,3,1,African Cup of Nations qualification,Brazzaville,Congo,False
235,2018-10-12,Belgium,Switzerland,2,1,UEFA Nations League,Brussels,Belgium,False
236,2018-10-12,Croatia,England,0,0,UEFA Nations League,Rijeka,Croatia,False
237,2018-10-12,Austria,Northern Ireland,1,0,UEFA Nations League,Vienna,Austria,False
238,2018-10-12,Estonia,Finland,0,1,UEFA Nations League,Tallinn,Estonia,False
239,2018-10-12,Greece,Hungary,1,0,UEFA Nations League,Athens,Greece,False
240,2018-10-12,Belarus,Luxembourg,1,0,UEFA Nations League,Minsk,Belarus,False
241,2018-10-12,Moldova,San Marino,2,0,UEFA Nations League,Chișinău,Moldova,False
242,2018-10-12,Cambodia,Timor-Leste,2,2,Friendly,Phnom Penh,Cambodia,False
243,2018-10-12,Japan,Panama,3,0,Kirin Challenge Cup,Niigata,Japan,False
244,2018-10-12,South Korea,Uruguay,2,1,Friendly,Seoul,South Korea,False
245,2018-10-12,Peru,Chile,3,0,Friendly,Miami Gardens,USA,True
246,2018-10-12,Qatar,Ecuador,4,3,Friendly,Doha,Qatar,False
247,2018-10-12,Saudi Arabia,Brazil,0,2,Friendly,Riyadh,Saudi Arabia,False
248,2018-10-12,Singapore,Mongolia,2,0,Friendly,Bishan,Singapore,False
249,2018-10-12,Sri Lanka,Malaysia,1,4,Friendly,Colombo,Sri Lanka,False
250,2018-10-12,Cameroon,Malawi,1,0,African Cup of Nations qualification,Yaoundé,Cameroon,False
251,2018-10-12,Gabon,South Sudan,3,0,African Cup of Nations qualification,Libreville,Gabon,False
252,2018-10-12,Togo,Gambia,1,1,African Cup of Nations qualification,Lomé,Togo,False
253,2018-10-12,Ivory Coast,Central African Republic,4,0,African Cup of Nations qualification,Bouaké,Ivory Coast,False
254,2018-10-12,Angola,Mauritania,4,1,African Cup of Nations qualification,Luanda,Angola,False
255,2018-10-12,Egypt,Eswatini,4,1,African Cup of Nations qualification,Cairo,Egypt,False
256,2018-10-12,Cape Verde,Tanzania,3,0,African Cup of Nations qualification,Praia,Cape Verde,False
257,2018-10-12,USA Virgin Islands,Curaçao,0,5,CONCACAF Nations League qualification,Bradenton,USA,True
258,2018-10-12,Bahamas,Antigua and Barbuda,0,6,CONCACAF Nations League qualification,Nassau,Bahamas,False
259,2018-10-12,Dominican Republic,Cayman Islands,3,0,CONCACAF Nations League qualification,Santiago de los Caballeros,Dominican Republic,False
260,2018-10-12,Grenada,Cuba,0,2,CONCACAF Nations League qualification,St. George's,Grenada,False
261,2018-10-13,Netherlands,Germany,3,0,UEFA Nations League,Amsterdam,Netherlands,False
262,2018-10-13,Slovakia,Czech Republic,1,2,UEFA Nations League,Trnava,Slovakia,False
263,2018-10-13,Republic of Ireland,Denmark,0,0,UEFA Nations League,Dublin,Republic of Ireland,False
264,2018-10-13,Norway,Slovenia,1,0,UEFA Nations League,Oslo,Norway,False
265,2018-10-13,Bulgaria,Cyprus,2,1,UEFA Nations League,Sofia,Bulgaria,False
266,2018-10-13,Latvia,Kazakhstan,1,1,UEFA Nations League,Riga,Latvia,False
267,2018-10-13,Georgia,Andorra,3,0,UEFA Nations League,Tbilisi,Georgia,False
268,2018-10-13,Armenia,Gibraltar,0,1,UEFA Nations League,Yerevan,Armenia,False
269,2018-10-13,North Macedonia,Liechtenstein,4,1,UEFA Nations League,Skopje,North Macedonia,False
270,2018-10-13,China PR,India,0,0,Friendly,Suzhou,China PR,False
271,2018-10-13,Myanmar,Bolivia,0,3,Friendly,Yangon,Myanmar,False
272,2018-10-13,Oman,Philippines,1,1,Friendly,Al Rayyan,Qatar,True
273,2018-10-13,Uzbekistan,North Korea,2,0,Friendly,Tashkent,Uzbekistan,False
274,2018-10-13,Equatorial Guinea,Madagascar,0,1,African Cup of Nations qualification,Bata,Equatorial Guinea,False
275,2018-10-13,Nigeria,Libya,4,0,African Cup of Nations qualification,Uyo,Nigeria,False
276,2018-10-13,Turks and Caicos Islands,Guyana,0,8,CONCACAF Nations League qualification,Providenciales,Turks and Caicos Islands,False
277,2018-10-13,Suriname,British Virgin Islands,5,0,CONCACAF Nations League qualification,Paramaribo,Suriname,False
278,2018-10-13,El Salvador,Barbados,3,0,CONCACAF Nations League qualification,San Salvador,El Salvador,False
279,2018-10-14,Poland,Italy,0,1,UEFA Nations League,Chorzów,Poland,False
280,2018-10-14,Russia,Turkey,2,0,UEFA Nations League,Sochi,Russia,False
281,2018-10-14,Israel,Albania,2,0,UEFA Nations League,Beer Sheva,Israel,False
282,2018-10-14,Romania,Serbia,0,0,UEFA Nations League,Bucharest,Romania,False
283,2018-10-14,Lithuania,Montenegro,1,4,UEFA Nations League,Vilnius,Lithuania,False
284,2018-10-14,Faroe Islands,Kosovo,1,1,UEFA Nations League,Tórshavn,Faroe Islands,False
285,2018-10-14,Azerbaijan,Malta,1,1,UEFA Nations League,Baku,Azerbaijan,False
286,2018-10-14,Scotland,Portugal,1,3,Friendly,Glasgow,Scotland,False
287,2018-10-14,Thailand,Trinidad and Tobago,1,0,Friendly,Suphan Buri,Thailand,False
288,2018-10-14,Guinea-Bissau,Zambia,2,1,African Cup of Nations qualification,Bissau,Guinea-Bissau,False
289,2018-10-14,Montserrat,Belize,1,0,CONCACAF Nations League qualification,Lookout,Montserrat,False
290,2018-10-14,Nicaragua,Anguilla,6,0,CONCACAF Nations League qualification,Heredia,Costa Rica,True
291,2018-10-15,Iceland,Switzerland,1,2,UEFA Nations League,Reykjavík,Iceland,False
292,2018-10-15,Spain,England,2,3,UEFA Nations League,Seville,Spain,False
293,2018-10-15,Bosnia and Herzegovina,Northern Ireland,2,0,UEFA Nations League,Sarajevo,Bosnia and Herzegovina,False
294,2018-10-15,Estonia,Hungary,3,3,UEFA Nations League,Tallinn,Estonia,False
295,2018-10-15,Finland,Greece,2,0,UEFA Nations League,Tampere,Finland,False
296,2018-10-15,Luxembourg,San Marino,3,0,UEFA Nations League,Luxembourg City,Luxembourg,False
297,2018-10-15,Belarus,Moldova,0,0,UEFA Nations League,Minsk,Belarus,False
298,2018-10-15,Croatia,Jordan,2,1,Friendly,Rijeka,Croatia,False
299,2018-10-15,Kuwait,Australia,0,4,Friendly,Kuwait City,Kuwait,False
300,2018-10-15,Saudi Arabia,Iraq,1,1,Friendly,Riyadh,Saudi Arabia,False
301,2018-10-16,France,Germany,2,1,UEFA Nations League,Paris,France,False
302,2018-10-16,Ukraine,Czech Republic,1,0,UEFA Nations League,Kharkiv,Ukraine,False
